Cliente;Tipo de imóvel;Mês;Aluguel;Parcela do contrato;Total do mês
Cliente Exemplo;Casa;1;1450,00;400,00;1850,00
Cliente Exemplo;Casa;2;1450,00;400,00;1850,00
Cliente Exemplo;Casa;3;1450,00;400,00;1850,00
Cliente Exemplo;Casa;4;1450,00;400,00;1850,00
Cliente Exemplo;Casa;5;1450,00;400,00;1850,00
Cliente Exemplo;Casa;6;1450,00;0,00;1450,00
Cliente Exemplo;Casa;7;1450,00;0,00;1450,00
Cliente Exemplo;Casa;8;1450,00;0,00;1450,00
Cliente Exemplo;Casa;9;1450,00;0,00;1450,00
Cliente Exemplo;Casa;10;1450,00;0,00;1450,00
Cliente Exemplo;Casa;11;1450,00;0,00;1450,00
Cliente Exemplo;Casa;12;1450,00;0,00;1450,00
